iteration,tr_loss
0,4.213222980499268
1,4.202610541612676
2,4.149908191587296
3,4.187989193488857
4,4.189552704671165
5,4.14778763529674
6,4.15396087645769
7,4.147146170829882
8,4.133954026906809
9,4.141210809250818
10,4.113703313375903
11,4.129876600273551
12,4.170669104617083
13,4.191892112604565
14,4.1887485691284025
15,4.1832722845042385
16,4.154464878937084
17,4.152146360212034
18,4.163900560141314
19,4.159669498583433
20,4.165733517556906
21,4.16454149321022
22,4.180326445911107
23,4.186083021529534
24,4.176642680104312
25,4.184181427146042
26,4.171575573171139
27,4.17834199297228
28,4.1707256998874245
29,4.151483052051219
30,4.141665100256162
31,4.151239229968602
32,4.156084550330817
33,4.151258307360059
34,4.1556079756272215
35,4.15515604521856
36,4.1524495917683115
37,4.134758791239568
38,4.13112949059279
39,4.140047359684011
40,4.128230867958911
41,4.117421065046691
42,4.113921945702213
43,4.112470315276412
44,4.126567732571391
45,4.126332250849707
46,4.117671466969818
47,4.1223249370654305
48,4.115120379325795
49,4.111526777448694
50,4.112676024604896
51,4.1007911529203565
52,4.100764902992222
53,4.102138692521747
54,4.102815028876529
55,4.108510364264794
56,4.103351196174221
57,4.0994820376281496
58,4.090359542437993
59,4.0859017961372
60,4.077135207430899
61,4.090189288754376
62,4.080176657470442
63,4.059215531115213
64,4.059876209634184
65,4.0649063262677725
66,4.055956686548642
67,4.048909013900835
68,4.035743785036391
69,4.036729215207426
70,4.03866480825661
71,4.032262484684607
72,4.017791987974157
73,4.027022378631016
74,4.025408077624576
75,4.018801079451337
76,4.022076852912135
77,4.028314263140467
78,4.0259740364744845
79,4.029242458354867
80,4.028111347450581
81,4.0205952475041284
82,4.003463415964096
83,4.008355185567081
84,4.014059358502203
85,4.006538944618374
86,4.006418075211632
87,4.007941291503825
88,4.010731938936838
89,4.011750557590183
90,4.017843920028434
91,4.012257968440488
92,3.995656099368617
93,4.000524281656122
94,3.995622788923607
95,3.997157983413773
96,3.9790560817315104
97,3.969643967462864
98,3.974529696253805
99,3.9730372312843487
100,3.9670220255363478
101,3.956138627738537
102,3.960779254394065
103,3.9621206013482873
104,3.956260459484062
105,3.947875501227041
106,3.9323517684424085
107,3.931588803485752
108,3.926321632344115
109,3.910739235941827
110,3.9103341908700266
111,3.9175016875724054
112,3.9226223048433537
113,3.9242104495145176
114,3.918813052333708
115,3.922021786524608
116,3.9276338945168328
117,3.9416029488778843
118,3.93555372454739
119,3.9333525891062773
120,3.931499780131599
121,3.920623435728521
122,3.919876905244071
123,3.9300520878801732
124,3.9144805960760976
125,3.9222872559193145
126,3.9244063840479724
127,3.9216002230165614
128,3.9137534742781623
129,3.9260245715920536
130,3.929875334475148
131,3.9287748454616684
132,3.942791318835009
133,3.9342725388798727
134,3.92623830061826
135,3.9229979426581236
136,3.9280495327741964
137,3.925342381366679
138,3.9145981541921473
139,3.9095162496386173
140,3.909279464212015
141,3.9102206778491406
142,3.913822585044784
143,3.9125198844495057
144,3.8981919123113298
145,3.893931135836804
146,3.8854345575452016
147,3.8834179405280533
148,3.878390734272394
149,3.8805264860781503
150,3.874138874946457
151,3.8766558435239196
152,3.8681216775754628
153,3.870162830391814
154,3.8631578233992565
155,3.8536942371158758
156,3.8490491861742324
157,3.85585581209736
158,3.8469913383345076
159,3.850828227981295
160,3.8533701397314157
161,3.8419136339073385
162,3.837598110033142
163,3.822351179307038
164,3.812299895540063
165,3.8162053705171006
166,3.814401456519044
167,3.8141642909878586
168,3.8151481806367293
169,3.8320844678372383
170,3.8350462146940556
171,3.8313428771964215
172,3.8289072482694917
173,3.81756710073158
174,3.8099053625970907
175,3.815550417720669
176,3.8239031566969404
177,3.817519614606372
178,3.8226178171756615
179,3.820757467278377
180,3.8270357984895087
181,3.8364947750391223
182,3.8365224412936096
183,3.8235734045465244
184,3.817666528042995
185,3.8260092985408347
186,3.822761504528796
187,3.828749026085259
188,3.834289507731277
189,3.820591107555126
190,3.818667420815324
191,3.8133204939283405
192,3.8163211614252055
193,3.8216189424030387
194,3.8307791176409003
195,3.836634665578588
196,3.82063515772381
197,3.818706451453474
198,3.8023888424978316
199,3.80580450230536
200,3.8072382200058756
201,3.79460306020896
202,3.8000880588418573
203,3.7823278168408168
204,3.766655474659946
205,3.761880612790265
206,3.754401609608485
207,3.763618172002945
208,3.7600113228387606
209,3.759276530784322
210,3.7564307266910637
211,3.749849207087295
212,3.7504135954009596
213,3.74881621434026
214,3.743758143518979
215,3.7353013566379323
216,3.7266220490321835
217,3.7284410082417008
218,3.722450351844864
219,3.7239779856279553
220,3.733213933807053
221,3.7365521758650972
222,3.7411308902432934
223,3.7583331544561087
224,3.7540950348554762
225,3.748826402639732
226,3.754127607874533
227,3.7580164447029727
228,3.755922285608478
229,3.757956263325502
230,3.755509546849079
231,3.7624893969183852
232,3.756701661226295
233,3.7645103013441656
234,3.766713616376107
235,3.758444225024017
236,3.7529596313454774
237,3.745021116189144
238,3.7426311964509233
239,3.7329691804300045
240,3.7347070022295354
241,3.7391923830150553
242,3.734222557520736
243,3.7324524407776787
244,3.735350116352799
245,3.7204611375110197
246,3.7095569575994736
247,3.7055468811864434
248,3.7023471146935747
249,3.699305537345953
250,3.6995708023875844
251,3.7098396036245505
252,3.7105107047338266
253,3.7052789206876824
254,3.7038574637903157
255,3.682328841206566
256,3.6767302308940177
257,3.6750265206945874
258,3.6778832160067836
259,3.6693469434714983
260,3.68022015195737
261,3.6735744615553516
262,3.671056423391506
263,3.6722697414177787
264,3.6838232500038806
265,3.684844581658896
266,3.6866135259117736
267,3.681732724510339
268,3.671829744911948
269,3.6726665688697473
270,3.6714648775632748
271,3.6694001491487267
272,3.6635812322578425
273,3.6634337891239572
274,3.6692391905551354
275,3.6747859596592116
276,3.6646676179408675
277,3.6525437864187964
278,3.6446935636542928
279,3.646125342046143
280,3.647881461468718
281,3.640637099557108
282,3.6355906489501018
283,3.6224575055164543
284,3.6209409122723057
285,3.6381256902634904
286,3.6481948484158226
287,3.640357165477267
288,3.636589976261965
289,3.6435135840585824
290,3.635783996346535
291,3.6411829347957037
292,3.634545357814945
293,3.6359128540660666
294,3.6301577638658618
295,3.6204906243805635
296,3.6178900694302554
297,3.6076987720617515
298,3.6067621517355017
299,3.6160768943255324
300,3.6167399629632486
301,3.612897883872396
302,3.6123134477580754
303,3.603479468765991
304,3.6065395198669354
305,3.6099747967284332
306,3.6055759288436113
307,3.6056004675946287
308,3.608268306712125
